;Código da Escola;Nome da Escola;Dependência Administrativa;Aprovação;Reprovação;Abandono;NO_REGIAO;SG_UF;TP_LOCALIZACAO;IN_INTERNET_ALUNOS;IN_INTERNET_APRENDIZAGEM;IN_LABORATORIO_INFORMATICA;IN_BIBLIOTECA;IN_BANHEIRO;IN_AGUA_POTAVEL;Energia;Esgoto;IN_BANHEIRO_PNE;IN_ACESSIBILIDADE_CORRIMAO;IN_ACESSIBILIDADE_ELEVADOR;IN_ACESSIBILIDADE_VAO_LIVRE;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_SINAL_SONORO;IN_ACESSIBILIDADE_SINAL_TATIL;IN_ACESSIBILIDADE_SINAL_VISUAL
0;11024682;EEEFM EURIDICE LOPES PEDROSO;Estadual;98.9;1.1;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
1;11024968;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;96.5;3.5;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1
2;11025620;EEEF TANCREDO DE ALMEIDA NEVES;Estadual;--;--;--;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
3;11025638;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI;Estadual;95.9;2.8;1.3;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
4;11038373;EIEEFM BOATT GERAINNY;Estadual;94.4;5.6;0;Norte;RO;Rural;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
5;11006889;EEEFM ANISIO TEIXEIRA;Estadual;85;8.1;6.9;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
6;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Estadual;96.9;3.1;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
7;11007885;EEEMTI HEITOR VILLA LOBOS;Estadual;97;2.7;0.3;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1
8;11049910;COLEGIO EXCELENCIA;Privada;100;0;0;Norte;RO;Urbana;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;0
9;11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;Estadual;96.9;3.1;0;Norte;RO;Rural;1;0;1;1;1;1;1;1;1;0;0;0;1;0;1;0
10;11108800;IFRO - CAMPUS ARIQUEMES;Federal;95.4;2.6;2;Norte;RO;Rural;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
11;11034270;EEEFM PLANALTO;Estadual;100;0;0;Norte;RO;Rural;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0
12;11034440;EEEFM JOSE DE ANCHIETA;Estadual;100;0;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
13;11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;93.5;6.5;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
14;11026197;EEEFM CARLOS DRUMMOND DE ANDRADE;Estadual;81;1.5;17.5;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
15;11026324;ESCOLA DANIEL BERG;Privada;97;3;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1
16;11026588;EIEEFM IZIDORO DE SOUZA MEIRELES;Estadual;100;0;0;Norte;RO;Rural;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
17;11027134;EIEEFM SERTANISTA FRANCISCO MEIRELES;Estadual;100;0;0;Norte;RO;Rural;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1
18;11027142;EIEEFM SERTANISTA JOSE DO CARMO SANTANA;Estadual;95.2;4.8;0;Norte;RO;Rural;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0
19;11027207;EIEEFM TANCREDO NEVES;Estadual;91.7;8.3;0;Norte;RO;Rural;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0
20;11027290;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;98.7;1.3;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
21;11027312;EEEFM BERNARDO GUIMARAES;Estadual;100;0;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
22;11027320;EEEFM CARLOS GOMES;Estadual;95.3;2.4;2.3;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;0;1;0;1;1
23;11027347;EEEMTI CLODOALDO NUNES DE ALMEIDA;Estadual;98.9;0;1.1;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
24;11027355;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Privada;92.4;6.7;0.9;Norte;RO;Rural;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0
25;11046740;EEEMTI JOSINO BRITO;Estadual;97.3;2.7;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0
26;11049456;EIEEF KABANEY;Estadual;100;0;0;Norte;RO;Rural;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
27;11051167;EIEEFM SOESAME IKINAH;Estadual;50;50;0;Norte;RO;Rural;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
28;11109815;IFRO - CAMPUS CACOAL;Federal;97.3;2.7;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
29;11034998;EEEM TANCREDO DE ALMEIDA NEVES;Estadual;87.7;4.6;7.7;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0
30;11050934;ESCOLA FAMILIA AGRICOLA MANOEL RIBEIRO;Privada;100;0;0;Norte;RO;Rural;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
31;11035951;EEEFM MANUEL BANDEIRA;Estadual;98.3;0.9;0.8;Norte;RO;Urbana;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1
32;11035960;EEEFM PAULO DE ASSIS RIBEIRO;Estadual;94.4;5.6;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0
33;11037016;IFRO - CAMPUS COLORADO DO OESTE;Federal;93.1;6.9;0;Norte;RO;Rural;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
34;11036486;EEEFM DOUTOR OSWALDO PIANNA;Estadual;100;0;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1
35;11005823;EEEFM ANGELINA DOS ANJOS;Estadual;97.7;2;0.3;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
36;11006293;EIEEF MARECHAL RONDON;Estadual;85.7;0;14.3;Norte;RO;Rural;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
37;11006420;EEEF PRESIDENTE EURICO GASPAR DUTRA;Estadual;95;5;0;Norte;RO;Urbana;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0
